"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006883","intracellular sodium ion homeostasis","8/806","28/18842",0.285714285714286,6.67919177596597,6.3573242447268,1.56931311134791e-05,0.00109644650024931,0.00109644650024931,"FXYD1/SCNN1B/SCNN1G/CHP2/FXYD4/SLC9A3/ATP12A/TMPRSS3",8
"GO:0006720","isoprenoid metabolic process","17/806","122/18842",0.139344262295082,3.25747467762275,5.2880951751767,1.72669242216906e-05,0.00118406334060963,0.00118406334060963,"CYP3A7/CYP2C18/CYP3A4/CYP1A1/AKR1C1/CYP2C19/ADH1A/CYP2C9/UGT1A8/RDH5/CYP3A5/ADH6/AKR1C3/ADH4/CYP2W1/CYP26C1/RBP3",17
"GO:0070268","cornification","6/806","15/18842",0.4,9.35086848635236,6.83968490536485,2.15971175433271e-05,0.00145407502296255,0.00145407502296255,"KLK5/CERS3/SPRR2E/PI3/SPRR1A/CASP14",6
"GO:0006766","vitamin metabolic process","9/806","38/18842",0.236842105263158,5.53669844586653,5.91774125218888,2.44345358322375e-05,0.00161573368190671,0.00161573368190671,"CYP3A4/CYP4F2/CBR3/CYP4F8/CYP4F12/CYP4F3/AKR1C3/CYP2W1/CYP26C1",9
"GO:0042178","xenobiotic catabolic process","8/806","30/18842",0.266666666666667,6.2339123242349,6.06483469336995,2.73887309248186e-05,0.00176748169102965,0.00176748169102965,"CYP2C18/CYP3A4/CYP1A1/CYP2C19/CYP2C9/UGT1A10/CYP3A5/NR1I2",8
"GO:0033559","unsaturated fatty acid metabolic process","16/806","114/18842",0.140350877192982,3.28100648643942,5.16395712725495,2.7684023245941e-05,0.00176748169102965,0.00176748169102965,"CYP2C18/CYP1A1/AKR1C1/ALOX15B/ALOX15/CYP2C19/CYP2C9/CYP4F2/CYP4F8/CYP4F12/CYP4F3/EPHX1/CYP2A13/CYP2F1/AKR1C3/CBR1",16
"GO:0070286","axonemal dynein complex assembly","9/806","39/18842",0.230769230769231,5.39473181904944,5.80765074122546,3.05686759588055e-05,0.00191857300127893,0.00191857300127893,"DNAI1/CFAP100/CFAP73/DNAAF6/DNAH12/DNAI2/DNAI3/DNAH3/DNAAF1",9
"GO:0044458","motile cilium assembly","12/806","69/18842",0.173913043478261,4.06559499406624,5.39289377382318,3.22711270775821e-05,0.00198923169380315,0.00198923169380315,"CFAP58/CFAP65/CFAP47/LRRC46/CFAP206/DNAH12/CFAP53/FSIP2/DRC7/DNAH3/DNAAF1/CFAP43",12
"GO:0036159","inner dynein arm assembly","6/806","16/18842",0.375,8.76643920595533,6.56980218934076,3.3306066706939e-05,0.00198923169380315,0.00198923169380315,"CFAP100/CFAP73/DNAAF6/DNAI3/DNAH3/DNAAF1",6
"GO:2000846","regulation of corticosteroid hormone secretion","6/806","16/18842",0.375,8.76643920595533,6.56980218934076,3.3306066706939e-05,0.00198923169380315,0.00198923169380315,"TAC1/GAL/BMP6/KCNK9/GALR1/ECRG4",6
