"Gene","Beta","HR","Pvalue","FDR"
"SORCS3-AS1",3.99557820654948,54.3572612636021,3.80965562550502e-05,0.0113038497654458
"HSPA4",0.676623557319425,1.96722428601996,3.86105168131274e-05,0.0113963690882559
"B4GALT1",0.473817373514185,1.60611364135179,3.94478264802797e-05,0.0115828680502721
"AP005435.3",5.30512312564721,201.365794181148,4.07624658910657e-05,0.0118944745616244
"MDFI",0.253615254083535,1.28867589608593,4.09310356349357e-05,0.0118944745616244
"LRIG1",-0.36482208216595,0.694320171830472,4.16267573568075e-05,0.0120346157576789
"ABCC12",-0.509296266451253,0.600918316426825,4.19557321062572e-05,0.0120678385368488
"AL592429.2",-0.619554600648276,0.538184091065231,4.24217882559801e-05,0.0121217202421419
"LINC01215",-0.343238062381274,0.709469293505036,4.26576249613723e-05,0.0121217202421419
"AC091132.2",-0.748010416239258,0.473307301101972,4.27881071410926e-05,0.0121217202421419
"LSP1P4",0.31500381732968,1.37026454169852,4.31143536882406e-05,0.0121530740176413
"VANGL1",0.50019410773598,1.64904133131536,4.34735844222961e-05,0.0121933671412506
"EIF3B",0.54382849603655,1.72258917980392,4.38745177193666e-05,0.0122037219146959
"PLEKHB1",-0.24424607038746,0.783294864875521,4.42559195735331e-05,0.0122037219146959
"SFTPB",-0.0985931217547998,0.906111310010172,4.43010010683074e-05,0.0122037219146959
"CD200R1",-0.376405384175483,0.686324051730867,4.44292954044837e-05,0.0122037219146959
"RPL32P1",-0.539432372635897,0.583079130127169,4.48617267657575e-05,0.0122037219146959
"AP001981.2",0.313053525432043,1.36759473016737,4.51503257660494e-05,0.0122037219146959
"PERP",0.347705425160483,1.41581512479261,4.54678102318692e-05,0.0122037219146959
"FLNC",0.178974452528824,1.1959901892527,4.5612462534802e-05,0.0122037219146959
"GJB3",0.155599686697389,1.16835840005247,4.56381891141512e-05,0.0122037219146959
"AC104971.3",-0.71565524068435,0.488871678214244,4.57567697674686e-05,0.0122037219146959
"ZNF589",-0.473399953815135,0.622880897760616,4.58916745763364e-05,0.0122037219146959
"AL132719.1",6.60261471552322,737.019769062209,4.62101690437332e-05,0.0122307253052089
"MTCO2P25",13.2475475832567,566678.602434755,4.68639434572156e-05,0.0122472740623946
"RNU6-256P",13.2475475832567,566678.602434755,4.68639434572156e-05,0.0122472740623946
"AL137009.1",-0.467840177811381,0.626353620865001,4.69244216949986e-05,0.0122472740623946
"OGFRP1",0.506452368112489,1.65939382184035,4.74781087984475e-05,0.012313839084095
"HLF",-0.17759939950403,0.837277770204262,4.76843861921309e-05,0.012313839084095
"AC106045.1",0.235866420328221,1.26600518631412,4.7834730371378e-05,0.012313839084095
"NKX2-1",-0.139119316311339,0.870124202254075,4.81602896210045e-05,0.0123412931257898
"AC022239.1",-0.392529453654568,0.675346454638455,4.9577549559542e-05,0.0125691669635367
"PARP11-AS1",-0.69134232115847,0.50090324457027,4.95869545958652e-05,0.0125691669635367
"LINC00857",0.394119895195634,1.48307835198481,4.97183949352329e-05,0.0125691669635367
"ERLIN1",0.522400237043286,1.68606976384698,5.06822838641004e-05,0.0127556447996541
"LINC02397",-0.473382479886924,0.622891782031803,5.09104839898781e-05,0.0127561308685039
"TSPAN32",-0.365144076302789,0.694096640795826,5.16358772142202e-05,0.0128806381142871
"ZFP3",-0.356308468848033,0.70025657957563,5.24387334313554e-05,0.0128992125358582
"TK1",0.27740030618752,1.31969454720469,5.25730292420347e-05,0.0128992125358582
